Suma Estrés,Suma Ansiedad,Suma Depresión,Genero,Edad,Orientacion,Raza,Educacion,Licenciatura,Ingles Nativo,Religion,Matrimonio,Zurdo,Zona vivienda,Familia,Voto,EXTRAVERSIÓN,AMABILIDAD,RESPONSABILIDAD,NEUROTICISMO,APERTURA EXP,country
40,34,27,Mujer,16,Heterosexual,Asiática,Instituto,0,2,Otros,1,Diestro,Urbano,2,2,1.0,5.0,5.0,1.0,7.0,IN
27,17,24,Mujer,16,Homosexual,Blanco,Instituto,0,1,Otros (cristianismo),1,Zurdo,Urbano,4,2,5.0,5.0,2.5,1.0,4.0,US
17,12,39,Mujer,17,Homosexual,Blanco,Instituto,0,2,Católico,1,Diestro,Urbano,3,1,2.0,4.0,2.5,4.5,5.5,PL
16,17,16,Mujer,13,Otros,Otros,Hasta el instituto,0,1,Católico,1,Zurdo,Urbano,5,2,2.5,6.5,7.0,5.0,6.5,US
29,40,32,Mujer,19,Heterosexual,Asiática,Grado universitario,7,2,Musulmán,1,Ambidiestro,Suburbano,4,2,2.5,4.0,2.5,2.5,5.0,MY
12,6,13,Mujer,20,Heterosexual,Árabe,Instituto,0,2,Católico,1,Diestro,Urbano,4,2,1.5,7.0,6.0,6.5,4.0,US
6,4,4,Mujer,29,Bisexual,Blanco,Máster/Doctorado,0,2,Ateo,1,Diestro,Suburbano,2,1,6.5,4.0,4.5,4.0,4.5,GB
33,39,35,Hombre,16,Bisexual,Blanco,Instituto,7,2,Otros,1,Diestro,Urbano,4,2,1.0,5.0,3.0,1.0,4.5,US
24,2,14,Hombre,15,Heterosexual,Blanco,Hasta el instituto,0,1,Protestante,1,Diestro,Suburbano,1,2,4.5,4.5,3.5,3.5,2.0,US
27,20,19,Mujer,18,Heterosexual,Blanco,Instituto,0,1,Protestante,1,Diestro,Rural,2,2,6.0,4.0,5.5,2.5,5.5,US
18,10,19,Mujer,20,Heterosexual,Blanco,Grado universitario,0,1,Agnostico,1,Diestro,Otros,2,2,4.0,7.0,3.0,2.0,6.0,US
